source,prediction,reference,chrf,bertscore_f1,rouge1,rougeL,meteor
Samsung tablets പ്രശ്നങ്ങൾക്ക് ശേഷം വാങ്ങി so far like it apps എല്ലാം available ആണ് previous tablets കാൾ slow ആണ് അതുകൊണ്ട് 4 stars,"I bought Samsung tablets after some issues with previous tablets. So far, I like it. All apps are available. Previous tablets were slow, that's why 4 stars.",I go this tablet after problems with 2 Samsung tablets. so far like it. all apps I use available. A little slower than previous tablets that is the only reason for the 4 stars,48.500126605181684,0.9376645684242249,0.5806451612903226,0.5161290322580646,0.4841579030333056
"ഇത് use ചെയ്യാൻ easiest tablet ആയിരുന്നു. ഞാൻ അതിൽ ഏകദേശം 5 എണ്ണം വാങ്ങി, അത് traveling ന് good ആയിരുന്നു.",This was the easiest tablet to use. I bought almost 5 of them and it was good for traveling.,It was the easiest tablet to use. I bought about 5 of them and it was good for traveling.,88.44233164533308,0.9883793592453003,0.8947368421052632,0.8947368421052632,0.9523214285714285
"Christmas ന് husband നു വാങ്ങി, very happy, son നു കൂടി വാങ്ങി, no issues, expectations meet ചെയ്തു, worth money, great deal.",I bought this for my husband for Christmas and he is very happy. I also bought one for my son and there were no issues. It met all of my expectations and it was worth the money. It was a great deal.,Bought this for my husband at Christmas. He is VERY happy with it and It keeps him out of my hair. Bought one for our young son too. Now i can breathe. LOL. We've had no issues with them and has more than met our expectations. Well worth the money & a VERY good deal!,41.16443593275111,0.9308443665504456,0.6185567010309277,0.4742268041237113,0.4399041182541532
"kids ന് great ആണ്, games books plenty ഉണ്ട്.","Kids love it, there are plenty of games and books.",Great for kids. Lots of games and books for kids..,40.15027531234206,0.937447190284729,0.5,0.5,0.46875
"എന്റെ teenage son (17) വേണ്ടി ഇത് വാങ്ങി, iPhone 7+ ൽ media നോക്കുന്നതിൽ നിന്ന് eyes neck rest നൽകാൻ. അവൻ ഇത് totally loved ചെയ്തു.","I bought this for my 17-year-old son, as he spends a lot of time watching media on his iPhone 7+. It provides a great relief for his eyes and neck. He absolutely loves it.",Got this for my teenage son (17) so that he could give his eyes and neck a rest from looking at media on his iPhone 7+ He totally loved it!,45.518173572525654,0.9355424046516418,0.5454545454545454,0.39393939393939387,0.45371480547401505
"great little device ആണ്, cable cut ചെയ്യാനുള്ള സമയം. setup ഉം program ചെയ്യാനും easy ആണ്","This is a great little device, cuts the cable time. Setup and programming is easy.",Great little device. Time to cut the cable. Easy to set up and program.,60.11884614878181,0.9389738440513611,0.5517241379310344,0.4137931034482759,0.6321068875893437
"reading വേണ്ടി tablet replace ചെയ്യാൻ വാങ്ങി, purchase ചെയ്തത് സന്തോഷം, exactly want ചെയ്തതു ചെയ്യുന്നു, bright sun ലും",I bought this tablet to replace my reading device and I'm very happy with my purchase. It does exactly what I wanted it to do and it works well even in bright sunlight.,I was looking for a replacement to a different tablet that I used only for reading. I am glad that I purchased this -- it does exactly what i want...even in the bright sun.,43.266320980631725,0.9318810105323792,0.4117647058823529,0.35294117647058826,0.4564484126984128
"So far so good, ഞാൻ ഈ tablet ഉം അതിന്റെ durability ഉം absolutely love ചെയ്യുന്നു. price ന് neat features and abilities ഉണ്ട്","So far so good, I absolutely love this tablet and its durability. The price is great for the neat features and abilities it has.",So far so good I am absolutely loving this tablet and its durability . neat features and abilities for the price!,78.75226988365776,0.9514325857162476,0.8181818181818182,0.6818181818181818,0.8698333333333332
"എന്റെ daughter നായി Kindle വാങ്ങി, years ആയി വാങ്ങിയ നാലാമത്തേതാണ്, ഓരോ കുട്ടിക്കും ഒന്ന്, great product ആണ്","I bought this Kindle for my daughter, it's the fourth one I've bought in years, one for each of my kids, and it's a great product.","Bought the Kindle for my daughter. It's the 4th we have bought over the years, one for each child. Great product",58.92557861777627,0.953790009021759,0.5882352941176471,0.5882352941176471,0.589125813309283
reviews വായിച്ച് വാങ്ങി preloaded apps remove ചെയ്യേണ്ടി വരും എന്ന് അറിഞ്ഞു. 7 year old daughter ന് വാങ്ങിയത് perfect ആണ് case ഉം protection ഉം ഉണ്ട്,I bought this after reading reviews and found out that I need to remove the preloaded apps. I bought this for my 7 year old daughter and it is perfect. It comes with a case and protection.,"I read the reviews before purchasing this so I went into it knowing there will be apps pre-loaded that I will have to remove. That being said, I purchased this for my 7yo daughter and it is perfect for the purpose considering it includes the case and no-hassle protection guarantee.",35.64047073485083,0.9256916642189026,0.49438202247191015,0.42696629213483145,0.3774235976789168
ഈ tablet ലെ features price ന് young readers ന് easy choice ആക്കുന്നു,This tablet features make it an easy choice for young readers at a reasonable price.,The amount of features on this tablet for the price makes it an easy pick for young readers.,54.353057173529415,0.9528263211250305,0.606060606060606,0.4848484848484848,0.6016042780748663
"ഈ tablet വളരെ well perform ചെയ്യുന്നു, sophisticated tablet വേണ്ടാത്തവർക്ക് great ആണ്, price ന് value ഉണ്ട്","This tablet performs very well, it is a great tablet for those who don't need sophisticated features, and it has good value for the price.",This tablet performs very well. It is great for someone that does not need a sophisticated tablet. Great value for the price.,62.35614450047835,0.9635146856307983,0.7083333333333333,0.6249999999999999,0.6479051229707399
"plane rides ൽ ഇത് great ആണ്, കാരണം extended battery life ഉം reading material നല്ല selection ഉം ഉണ്ട്","This is great for plane rides, because it has extended battery life and a good selection of reading material.",I find this product to be great on plane rides due to extended battery life and great section of reading material,60.245418896351175,0.9352401494979858,0.5500000000000002,0.5500000000000002,0.5357142857142857
"Fire TV wonderful device ആണ്, Stick ഉണ്ട്, പക്ഷേ TV much better ആണ്","Fire TV is a wonderful device, it has a Stick, but the TV version is much better.",The Fire TV is a wonderful device. I have the Stick and I think that the TV is much better.,58.43356924950479,0.9382452964782715,0.6486486486486486,0.6486486486486486,0.5670159057597307
ചിലപ്പോൾ ചെറിയ കുട്ടിയെ പോലെ Alexa എന്നെ കേൾക്കില്ല,Sometimes Alexa doesn't hear me like a little kid.,But like a lil kid sometimes she/Alexa doesn't here me.,55.532362484221665,0.9278758764266968,0.7272727272727272,0.45454545454545453,0.5304621848739496
ഞാനും എന്റെ son ഉം tablet love ചെയ്യുന്നു. works great ആണ്. thanks.,I also love this tablet. It works great. Thanks.,My son and I love the tablet. Works great! Thanks!,48.34583272889036,0.9403274655342102,0.631578947368421,0.631578947368421,0.3717766176237937
"Alexa family friends ന് great gift ആണ്, always great feedback ലഭിക്കുന്നു.","Alexa is a great gift for the family and friends, always receiving great feedback.",alexa is a great gift have given to family and friends always a great feedback,68.17856647440885,0.9181956052780151,0.7586206896551724,0.7586206896551724,0.6693667560615182
"mom ന് വാങ്ങി, easy simple ആണ്, books tablet ൽ load ചെയ്യാം","I bought this for my mom, it is easy and simple, and you can load books onto the tablet.","Bought for my Mom, easy to use, simple and she can load all of her books onto her tablet.",44.061847471597396,0.9556554555892944,0.631578947368421,0.631578947368421,0.6081818181818182
ഇത് ഒരാൾക്ക് great first tablet ആണ്. വളരെ inexpensive ആണ് കൂടാതെ നിങ്ങൾക്ക് വേണ്ടതെല്ലാം ഉണ്ട്,"This is a great first tablet for one person. It is very inexpensive, plus it has everything you need.",This is a great first tablet for someone. Very inexpensive and has everything you want on it,69.18093406992315,0.9617526531219482,0.7222222222222222,0.6666666666666667,0.7737922705314008
